ItiEuropeen	route	longueur	prD	depPrD	concessionPrD	absD	xD	yD	zD	prF	depPrF	concessionPrF	absF	xF	yF	zF
E15	A0006	15173	91	77	C	42	691541,88	6784209,91	0	106	45	C	215	703630,24	6775827,96	0
E15	A0006	112985	106	45	C	215	703630,24	6775827,96	0	219	89	C	200	784048,85	6711347,62	0
E60	A0006	108335	110	89	C	865	707188,69	6772870,67	0	219	89	C	200	784048,85	6711347,62	0
E15	A0006	95300	219	89	C	200	784048,85	6711347,62	0	314	21	C	500	838773,19	6650263,84	0
E60	A0006	85400	219	89	C	200	784048,85	6711347,62	0	304	21	C	600	841800,37	6658764,91	0
E21	A0006	9900	304	21	C	600	841800,37	6658764,91	0	314	21	C	500	838773,19	6650263,84	0
E15	A0006	89370	314	21	C	500	838773,19	6650263,84	0	403	71	C	870	836524,77	6565504,37	0
E21	A0006	68555	314	21	C	500	838773,19	6650263,84	0	383	71	C	55	840606,12	6585727,83	0
E15	A0006	28230	403	71	C	870	836524,77	6565504,37	0	432	69	C	100	833866,8	6538705,37	0
E15	A0007	20280	6	38	C	0	843170,65	6487932,34	0	26	38	C	280	842482,22	6468533,76	0
E15	A0007	116330	26	38	C	280	842482,22	6468533,76	0	142	26	C	610	838696,36	6360045,49	0
E15	A0007	23907	142	26	C	610	838696,36	6360045,49	0	166	84	C	517	842652,36	6339067,55	0
E714	A0007	32958	166	84	C	517	842652,36	6339067,55	0	199	84	C	475	854505,45	6311612,22	0
E714	A0007	54397	199	84	C	475	854505,45	6311612,22	0	253	13	C	872	881130,33	6269109,25	0
E80	A0007	10980	235	13	C	50	871905,2	6283083,96	0	246	13	C	30	879995,41	6276249,07	0
E714	A0007	25139	0	13	N	0	881130,33	6269109,25	0	278	13	N	915	892914,24	6250867,86	0
E712	A0007	8332	270	13	N	585	890328	6258504,74	0	278	13	N	915	892914,24	6250867,86	0
E15	A0007N	7200	20	38	C	0	840302,41	6500067,28	0	27	38	C	460	844793,89	6495073,16	0
E15	A0007N	5410	27	38	C	460	844793,89	6495073,16	0	32	69	C	870	843615,41	6490536,22	0
E15	A0007N	2810	32	69	C	870	843615,41	6490536,22	0	35	38	C	680	843170,65	6487932,34	0
E80	A0008	18068	0	13	C	0	879950,89	6276365,3	0	18	13	C	68	896393,69	6271859,37	0
E80	A0008	25158	18	13	C	68	896393,69	6271859,37	0	43	13	C	226	919668,19	6268020,31	0
E80	A0008	108729	43	13	C	226	919668,19	6268020,31	0	151	83	C	955	1013527,54	6278237,24	0
E80	A0008	72037	151	83	C	955	1013527,54	6278237,24	0	223	6	C	992	1064459,62	6309307,73	0
E74	A0008	26462	197	6	C	530	1042856,66	6301574,86	0	223	6	C	992	1064459,62	6309307,73	0
E15	A0009	7920	0	84	C	0	842693,26	6339023,15	0	7	84	C	920	841593,54	6331926,88	0
E15	A0009	66890	7	84	C	920	841593,54	6331926,88	0	74	30	C	810	793112,44	6292359,77	0
E80	A0009	19792	55	30	C	18	808391,65	6302211,57	0	74	30	C	810	793112,44	6292359,77	0
E15	A0009	100804	74	30	C	810	793112,44	6292359,77	0	175	34	C	614	712287,94	6238516,49	0
E80	A0009	100804	74	30	C	810	793112,44	6292359,77	0	175	34	C	614	712287,94	6238516,49	0
E15	A0009	52360	175	34	C	614	712287,94	6238516,49	0	227	11	C	974	698585,43	6196493,63	0
E80	A0009	18030	175	34	C	614	712287,94	6238516,49	0	193	11	C	644	698657,49	6227956,68	0
E15	A0009	52501	227	11	C	974	698585,43	6196493,63	0	280	66	C	475	688911,76	6151643,75	0
E5	A0010	15266	0	91	C	0	640733,53	6841509,72	0	15	91	C	279	628916,57	6832623,53	0
E50	A0010	13339	1	91	C	930	639651,16	6839923,93	0	15	91	C	279	628916,57	6832623,53	0
E5	A0010	7295	15	91	C	279	628916,57	6832623,53	0	22	78	C	594	622448,93	6829428,76	0
E50	A0010	7295	15	91	C	279	628916,57	6832623,53	0	22	78	C	594	622448,93	6829428,76	0
E5	A0010	1002	22	78	C	594	622448,93	6829428,76	0	23	91	C	599	621526,5	6828972,58	0
E50	A0010	1002	22	78	C	594	622448,93	6829428,76	0	23	91	C	599	621526,5	6828972,58	0
E5	A0010	13666	23	91	C	599	621526,5	6828972,58	0	37	78	C	240	619344,1	6816675,8	0
E50	A0010	2493	23	91	C	599	621526,5	6828972,58	0	26	78	C	100	619407,99	6827679,44	0
E5	A0010	40760	37	78	C	240	619344,1	6816675,8	0	78	28	C	37	614491,93	6776635,86	0
E5	A0010	48161	78	28	C	37	614491,93	6776635,86	0	126	45	C	254	592095,09	6741259,77	0
E60	A0010	47201	79	45	C	0	614361,19	6775684,63	0	126	45	C	254	592095,09	6741259,77	0
E5	A0010	45508	126	45	C	254	592095,09	6741259,77	0	171	41	C	803	554162,45	6721379,98	0
E60	A0010	45508	126	45	C	254	592095,09	6741259,77	0	171	41	C	803	554162,45	6721379,98	0
E5	A0010	86322	171	41	C	803	554162,45	6721379,98	0	258	37	C	145	513644,75	6653945,18	0
E60	A0010	45780	171	41	C	803	554162,45	6721379,98	0	217	37	C	600	525650,83	6691681,05	0
E5	A0010	52905	258	37	C	145	513644,75	6653945,18	0	311	86	C	58	491784,85	6609515,54	0
E5	A0010	27005	311	86	C	58	491784,85	6609515,54	0	338	86	C	63	468584,17	6599176,21	0
E5	A0010	55348	338	86	C	63	468584,17	6599176,21	0	393	79	C	411	427650,95	6565622,19	0
E5	A0010	95210	393	79	C	411	427650,95	6565622,19	0	488	17	C	621	420545,18	6476593,46	0
E5	A0010	29	488	17	C	621	420545,18	6476593,46	0	488	17	C	650	420554,47	6476563,78	0
